,Natural_sciences,Engineering_tech,Medical_health,Agricultural_sciences,Social_sciences,Humanities
Agriculture,0.23518547341414364,0.0781094840413372,0.0,0.6867050425445193,1.1507982393901275e-17,0.0
Defence,0.31644299073576504,0.6597265475172851,0.0,0.01761682334141762,0.0,0.006213638405532339
Earth,0.8354238567185623,0.16457614328143783,0.0,1.6490799709820655e-17,0.0,0.0
Energy,0.324604506661545,0.6510054203542245,0.017389624794785997,0.007000448189444642,0.0,8.479729689995508e-18
Environment,0.6172964841183749,0.29291755501881855,0.0,0.0023448008452334303,0.08744116001757317,3.032778587535997e-18
Health,0.17787276721432002,0.05239054167804257,0.7533385976509352,0.005400860742555008,0.002147568909488876,0.0088496638046583
IPT,0.25074128610699375,0.5121178621114035,0.06849160800227487,0.0,0.11448469875585852,0.054164545023469506
Society,0.02427800366150695,3.276771153609048e-18,0.08457481663132405,0.0,0.6759752334355987,0.21517194627157035
Space,0.4631755955864623,0.50001291152793,0.0,0.03251180187616017,2.0512200527833692e-17,0.004299691009447471
TTI,0.1480720813715978,0.5562990093280467,0.0021704765719679033,0.0058725226908656605,0.2706963191407898,0.016889590896732146
GAK,0.2838802379809035,0.1488764936836905,0.22491274941032302,0.06473297147060764,0.17366581431830067,0.10393173313617465
