entity,Agriculture,Defence,Earth,Energy,Environment,Health,IPT,Society,Space,TTI,GAK
Austria,0.023141541968583992,0.0017902610968352519,0.013966331761849369,0.028588262411451418,0.010440992193367733,0.047696833493997795,0.1269371298979463,0.019470920709892727,0.00722062208887235,0.012022975505751201,0.7087241288714519
Belgium,0.021992126654129467,0.01213192210246795,0.016285496544776876,0.028458039777539273,0.006451350831417455,0.018768495068875807,0.35438359478608633,0.04029360646402258,0.08198442652289,0.003352648382729735,0.4158982928650645
Switzerland,0.025377549103547555,0.0045160198367110585,0.0029389281505100224,0.007839580301915288,0.003349227418505873,0.0023477202599677988,0.05293108547033452,0.05333196112262542,0.02983628327636799,0.002154288148129319,0.8153773569113851
Cyprus,0.04949671709137188,0.00025308766956873865,0.0006724900934255055,0.0004338645764035519,0.0025308766956873858,0.05395829115205507,0.00012292829664767305,0.02127382639632083,0.0,0.0017426893818876,0.8695152286466318
Denmark,0.04425427858076228,0.0041834944710874185,0.011008845897321318,0.044371889287508896,0.013488043314602292,0.17871687625962882,0.04162874804763203,0.06610961317868785,0.013833014564982486,0.0013756522254424913,0.5810295441723442
Estonia,0.04129891460641511,0.02722229963503974,0.006581736570440888,0.0,0.015188394797463362,0.015668683682333373,0.27070208154830905,0.03439698544606088,0.0,0.0015120205634796633,0.5874288831504578
Finland,0.029696608948452132,0.021060591351975515,0.006189082077719474,0.055772843316080886,0.08095069001282437,0.02034443587215134,0.14373691802787303,0.02865814092509235,0.01815381759409227,0.008159148311456955,0.5872777235622816
Ireland,0.09195026146881069,0.0,0.010356961767618585,0.01872567607548491,0.024581017278726608,0.05702464951192806,0.11571409952843337,0.048215476556279294,0.036176590621750666,0.006541239011127528,0.5907140281798403
Iceland,0.027674273082595173,0.0,0.010996129186437373,0.0,0.004251291581373557,0.027954128815392696,0.32790601878492304,0.07154558975665129,0.0,0.0,0.5296725687926269
Lithuania,0.030500111327381514,0.002740090067442846,0.0304749728863958,0.02899180486823866,0.005329349488971407,0.013761500836750965,0.0873596736312119,0.06504751165346301,0.00384618147081427,0.029516120923083554,0.7024326828462462
Luxembourg,0.0014974728970557842,0.010903180955601902,0.0013697085846344624,0.004591999699378088,0.045737744959885765,0.1379610318847115,0.36904721642898747,0.06103752137233902,0.008501963436860004,0.011658493508445597,0.3476936662721004
Malta,0.03208966302142609,0.0,0.022267306645553958,0.02597852441981295,0.007323469741204412,0.03973477163639962,0.02657231926369439,0.15159087535256568,0.022267306645553958,0.004057598099856499,0.6681181651739323
Netherlands,0.04931290067413054,0.02866552110067162,0.010744105708995061,0.026310746555302744,0.015091958804162245,0.08003303318191562,0.0505800087130526,0.024126037107008686,0.020277244786027986,0.01522369772153792,0.679634745647195
Sweden,0.012637813085948694,0.03127533140644063,0.012140652250452383,0.059034203027896276,0.024838595442598522,0.07288075918480975,0.01861116342288199,0.024010335213827772,0.026007422357959893,0.045274643620374845,0.6732890809868092
SAE average,0.034351445179329344,0.01033869997813162,0.011142339151866505,0.023506959594072358,0.018539500182913643,0.05477508648863701,0.14187378470342954,0.05065060008963124,0.019150348097583706,0.010185086814521635,0.6254861497198833
New Zealand,0.1830915637962052,0.0,0.0413432563410786,0.011812358954593885,0.08859269215945413,0.12993594850053272,0.08859269215945413,0.017718538431890828,0.0,0.029530897386484713,0.4093820522703057
